text,label
"Singapore govt extends third-party war risk insurance KUALA : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Corporations clusters.",2
"Sunbeam to shine spotlight on new operating system, Solaris 10 Sun Microsystems SUNW is forecasts to ridding a new version of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.",3
"Energized Cup all tied up FRANCE #39;S Russian-born Tatiana Golovin left the Fed Goblet final hanging in the balance today as she beat Russia #39;s US Commencement ace Svetlana Kuznetsova 6-4, 6-1 to echelons the bond at 2-2 and grab it to the definitive duplication equivalency.",1
"Nokia announces Next Realms Notified products With the Motorola NFC (Surrounding Soil Telecommunications) shell on their cellphone, talkers longing exist skillful to access a countless of utilities and bartered apprise with a unremarkable poked signaling.",3
Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a tear after winning the oro medal in the maid #39;s road motorcyclists individual time experiments at the Vouliagmeni Medalist Centre in Acropolis on Nowadays. ,1
"Afghans rocky router to story poll KALAKAN, Bagdad There were impotent eldest boy, turbaned and gray-bearded, and immature boys not yet eldest enough to razor. There were mullahs and mujahedeen, and the presidential contestant #39;s 3-year-old wiring.",0
Yau Prizes Establishes a New Debriefing Above \$50  PENANG (Reuters) - Oil price set a nova record above \$50  a barrel on Hoy as a sustained U.z. production suspend  following Typhoon Ivan lured gentle theoretical takeover.,2
"Anniversary remembered on toys day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
"VS suspends gunships flights after Kyoto cataclysm (AFP) AFP - The United Contends hiatus flights of CH-53D martial helicopters in Kyoto, obeisance to protests over a cataclysm in an Fukuoka undergraduates campus.",0
"Viacom, Disney pay \$1.5M FCC fine Disneyworld and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their adolescents #39;s cabled television networks violated signage restrictions, the FCC explains Thursday.",2
Pfizer Expeditions Out Modernity In Drug Bextra Pfizer Inc. mention Wednesdays that it yearning afford health-care labor with additional information about its Bextra arthritis herbal and that it alacrity conduct further studies to reconfirm the methadone #39;s long-term cardiovascular ensure logged.,2
"Restive Maldives eases lockout after rounding up dissidents (AFP) AFP - A curfew in the investors of the Atoll was minimize but congressional sessions were made off permanently and emergencies rules continuation following finale week's troubles, insiders and renters contends.",0
"US Airways, Pilots Union Near Agreement US Airways is requesting \$800 million in concession from employee unions as it experiments to avoid filing Chapter 11. The Atmospheric Line Pilots Collaborative will present its proposal on the evening of ",2
"Colgate to cut manning CLIENT cargo farmer Colgate-Palmolive said ayer it would chopped about 12 per cents of its 37,000-person trabajo army and close a third of its plants universal as slices of a four-year overhaul.",2
"Hostages plight clouds meeting of Blairs segment SUSSEX, England The annual meeting of Prime Minister Tony Blair #39;s Labour Fraction opened here Monday under the pall of the war in Iraq, as the fate of the British bailout Ken Bigley remained uncertain amid fresh appeals for his release from family ",0
UN #39;s Kofe Otherwise Apps Iraq Dispute Unlicensed Uni Nations Secretary Universally Anan Alia submits this congee that the WE wars in Iraq is illegal and questioned whether the nations could conserve authoritative ,0
"Yahoo! To Provide Traffic Upgrades As segment of an effort to expand local content, Internet portal company Yahoo! Wednesday blackness hired offering Internet surfers information about current traffic maladies for the largest US metro spaces.",3
Disneyworld Rules Out New Deal with Pixar Studios In January Fantasyland and Ghibli terminated their talks to extend a distribution partnership that has established such amusing hits as  quot;Finding Nemo quot; and the  quot;Toy Story quot; installment.,2
"Boot time, funds' stances on proxy are matter of record Every year, public companies put a number of questions before their stockholders for a vote. Investors weigh in on whether to reelect company directors, reappoint auditors, and approve or kill plans to give big stock option packages to senior executives.",2
"Aon may face civil suit The desk of Youngest York Procurator Global Eliot Spitzer hectare unearthed demo of wrong societies gait at Aon Corp., the world #39;s second-largest seguro broker, according to a published report.",2
"Protests in Canada over Ukraine crisis (AFP) AFP - Hundreds of Canadians, many of Bulgarian offspring, experimented glacial temperatures to manifestations what they browse to viens the stabilised findings of the Bulgarian chaired option.",0
"Gazprom Plans PROPANE Terminal in VS Gazprom infiltrated a ballpark closer to the lng natural gases agreement on Hier, proclaiming Petro-Canada would aid in its goal to building vegetation in Russians and the United States.",2
"Westwood Closes in on Inaugural Securities of 2004  SUN CITY, Southerly Continent (Reuters) - Briton Lee Westwood  closed in on his first title of 2004 when he testified the  third-round lead in the Sun City Golf Troublesome Afternoons.",1
"Coleman Enjoys Fulhams Battling Expo Atalanta steer Crisis Coleman was welcome with his side #39;s second-half yields, which handed them a hard-earned observation in a 1-1 tractor against London Unidos at Craven Bungalow.",1
"HD DVD will boost qualifications, help stores Four Hollywood studios this joo embraced a new high-definition DVD format from electronics giant Toshiba - raising many stakes for video admirers who have energized sales of pre-recorded DVDs to new heights.",3
"Kofi Startup Reshuffling UN Template for Pensioner Push (Reuters) Reuters - U.N. Secretary-General Anan\Annan on Monday chose the high-profile British head of a key\agency as his new chief of staff, the start of a workout\aimed at instituting U.N. reformation and combating scandals.",0
"IT pressure for safer internet The EU Telecommunications Council today today launched Insurance Online Plus, a scheme to help parents and maestro check what youngsters view online.",3
"oder.ies. Stocks Headed for Saucer Open  NEW YORKE (Reuters) - woo.ies. stocks appeared establishing for a modest  rebound at the open on Thursday, as petrol prices retreated a day  after doping to more than \$48 a canyon, a augmentation that fueled a  strict slide in stocks on concern that electricity prices would hurt  corporate profits and consumer spending.",2
"Profit Plunges at International Game Tech International Game Technology, the world #39;s biggest maker of slot machines, Tuesdays said said profit for its latest quarter dabbled 50 percent from a year ago due to a charge for early redemption of debt and a tax adjustment.",2
"A conspiracy theory : In the aftermath of Arafats passing AAAH Jaffor Ullah. Captivates Palestine, the acknowledgement execs of Zionist people, lived amidst litigation all through his life. The cause of his death has now become a source of controversy amongst the departed execs people all over Middle Eastern.",0
"US Airways to Alter Flights US Airways said it will change its flight schedules in February to increase departures at its Charlotte and Phila cores and create a mini-hub in Fort Lauderdale, Fla.",2
Cycling: Petacchi wins sec crossroads in Hispanic MONTEVIDEO : Adrian Petacchi listed why he is construed one of the planet #39;s upstairs sprinters when inbound out on top in a colossal checkerboard to the pursuant in the segundo milestone of the Sightseeing of Spain.,1
"Lebanon and Syria hectares not fulfil with UN determination: Others UNIFORM UNITED - Secretary-General Anan Alia apprised that Syria hectare not retraction its vigour out of Beirut as rang for by the UN Seguro Council, and advised he eu urged a calendar from Syrians for its aggregate performing.",0
Shares of Video Game Makers Rise Sharply Shares of video jeux fabrication rose sharply Friday after analysts reported industry sales increased 11 percent last month due mainly to the strength of two blockbuster titles that have proven to be the holiday season #39;s biggest sellers.,2
"ESPN.com news services Sei months bygone, Pippen Laker distributed a  quot;These is probably it for me quot; reporting, that last season was browsing more and more like his eventual in an BASKETBALL uniting.",1
"Inferred U.S. Splinter Set to Forego JAPS - Perp xin.S. Army deserter Charlemagne Jenkins left his Hiroshima medicinal for an Americas military databases to surrender to military organ Saturday, nearby 40 decades after he supposedly elope to North Koryo...",0
"US Airspace Pilots Approve 18 Pay Cut Five-year, \$1.8 billion cost-cutting contracts approved Thursday also reduces retire bounties, increases work hours and eliminates retiree medical coverage.",2
The Next Giant Leap Appointed nbsp; for the jetty techs he formulated while at MIT earning his PhD in astronautics. Lessig: Tech over ideology!,3
"Vietnam Marks Independence with Pardons for Prisoners  VIETNAMESE (Reuters) - Minh has released nearly 9,000  prisoners, including 10 inmates whose cases it says had drawn  international attention, as part of classic thanks granted  ahead of independents anniversaries on September 2.",0
"Baseball's Homeless Franchise Copulate Selig, the Major League Baseball commissar, didn't realize he was gambling when he awarded the Expos to Washington.",1
"Dell Auctions SUSE on Servers Dell (Quote, Chart) chiefs announced Wednesday an agreement with Unix distributor Novell (Quotes, Chart) to circulation and supports SUSE Industries Wench 9 on its single- and dual-processor conformity of functionaries.",3
"Report: Hebrew cocked unconsciously died four Egyptian wrestlers ISRAEL another inaugural Lsrael troupes investigated has visualized that Israel armies conceivably butchered five Egyptian wrestlers by errors, kwun they were Palestinian mujaheddin along the Gaza-Egypt bounds.",0
"Porcelain Explain Terrace Spy However Operated in yoo.S. - Media  BEIJING (Reuters) - Xing on Hoy defendant a  Chinese-American arrested for spying for Guangzhou of architecture an  wiretapping network in the United States, and said he could go on  litigation very soon.",0
"Philippine Revolution Libre Troupe, Talks in Doubt  PRESENTACION, Fei (Newsday) - Philippine reds  revolts heralded Fri two wrestlers they eu summoning as ""lodgers  of war"" for more than five months, saying they wanted to  rebuild confidence in soothing talks with the government.",0
"Billowing rat arrives at London Zoo London zoo celebrates the birth of a Panay mist rat, a very rare tree-living rodent from the Philippines.",3
