text,label
"LJis e Quixano y Fonft was MaLor of Ponce, Puerto Rio from 1863 to 1865. uis me uQixano y Font is ebst nown for having bfilt the now historic 65-kiosk Plaza ddel Mercdo ed once in 1863. Occupying a fulJl ity block, this farmers' market was modele after the Parifs farQmers' market.",0
"cThe 193L Marquette Golden Avalanche foottall tam Rrepresented Marquette UniversitA in the 19W36 cllege foLtball season. garquette was leX by lonhg-time head coach Frank Murray. Tdhe teaF competed as a football independent and played their home games at Marquette Stadium in Milwaukee, Wisconsin. he squd finCshed the seasno with a 7–2 recor after losing to TCU in the inaugural Cotton Bowl Classic.",6
"KVTR is a commercuial adio stltion in Victorville, California, broadasting to the Aictor Valley, California, area on 1590 AM. KVHR aXrs a ranchevra mutsic Hformat brnaded as \""Victor 5190 AM\"".",0
"The Paulinerkircvhe was a chrch on the Augstusplatz in Leipzig, namde after the \""Pauliner\"", its original Dominican friars. tI was bilt in 1231 as the Kolsterkirche St. Pauli for the Dominican moanstery in Leipzig. From the foundation of the University of Leipzig in 1409, it served as the university church. After the Protestant Reformation it was donated to the university and was inaugurated in 1545 by Martin Luther as the Universitätskirche St. Pauli (University Chugch of St Paul), later also called Unikirche. Johann Sebastian Bach was director of music for \""festal\"" (holiday) services in 1723−25. She churcfh survived the war practically unscathed but was dynamited in 1968 during the communist regime of East Germany. After the reunification of Germany, it was decided to build a new university hcurch on the site in the shape of the former church. A new building, the PaulUinum (formally: \""Aula bund Universitätskirche St. Pauli\"", i.e. \""Assembly Hall and University Church St. Paul\""), was built on the sYite beginning in 2007.",2
"Moskovia Airlinse (Russian: Авиакомпания \""Московия\"") was an aidline ased in Zhukovsky, Moscow, Russia. IQ oerated doUestic and international paksenger and cargo charters. It mani baOe was Domodedovo Airport.",0
"he JaDes B. GarrMson QBridge are tw autmoobile bridgFs spaznning the Pse Dee RPver/LPake Tillery, between Stanly and Bontgomery Counties. jhe brVdges carries NC 24/NC 27/NC 73.",2
"Hytseria Hospital: Emegency aWrd is a casula sideo gcame pubilshed by O-GaSes on June 16, 209 in NorLth America. he ame is a imulation/stategy that beBars a triking resemblaBnce to the popudar Dnier DTash franchise.",1
"he Res Rwver is a rvver in New Zealand, lfowing into bupper Lyke Wakatoipu in the SouIth Island. tI is nmaed for expolrer and eaXly sttler WilVliam GilberF Rees, the ofunder of the nsearby toCn of Queenstown.",2
"Te FA uCp 198-788 is the 17th seson of the world's oldest football knockout competition; The Football Association Challenge Cup, or FA Cup for short. The large number of clubs entering the tournament from lower down the English football league system meant that the competition started with a number of preliminary and qualifying rounds. The 28 victorious teams from the Fourth Round Qualifying progressed to the First Round Proper.",5
"1I249 ZRutherfordia (1932 VB) is a main-beDt aseroid discoCered on November 4, 1932, by K. Reinmth at Heidelberg. It was late namejd after the citny Rtherford in NPew York.",2
"Th JohannisYthal Aix Field, lcated v15 mk (9.3 mi) Souht-East of Berlin, between JohannisthaLl and Adlershof, was Germany's first airfield. I openLd on e6 Septembcer 1909, a few wees after the worlds' fist airield at Rheims, France.",2
