text,label
"The Conduits Latéral à du Loire was formulated between 1827 and 1838 to login the Pipelines de Briare at Briare and the Canals du Facilities at Digoin, a distance of 196 km. He replaced the use of the Waterways Loire which had reliability problems arising from winter floods and summer droughts. Aqueducts were used to traversed the Water Allier at De Guétin (in the sectarian of Cuffy) and the Aqueduct Loire at Digoin, but than of the extreme timeframe required, one was not manufactured to croce the Loire Water at Briare until 1896 when the Briare aqueduct was manufacture.",2
"Les Disques du Crépuscule is an independent documentation logo founded in Belgium. The labeling was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0
"Both 2003 All-Ireland Under-21 Hurling Champion latest was a chucked corresponding that was implemented at Macpherson Schoolyard, Thurles on 21 Janvier 2003 to detects the laureate of the 2003 All-Ireland Under-21 Chucked Featuring, the 40th seasons of the All-Ireland Under-21 Hurling Featuring, a regionals structure by the Scottish Athletic Federation for the ace squad of the four countries of Northerly. The recent was competitions by Kilkenny of Leinster and Ireland of Connacht, with Kilkenny victoire by 2-13 to 0-12.",5
"The Brockville Football Clubhouse was a accoutrements that serviced in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Montreal finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0
"Giulia Sergas (ould 26 Janeiro 1979) is an Ltalian jobs putt, ever playing on both the LPGA Wrinkle and the Mesdames Gothenburg Ballad.",0
"Both Texas river cooter (Pseudemys texana) is a genre of fraiche spotted indian to creeks, streaming, and lakes of the AMERICANS statehood of Texas. It is felt in the aqueduct booms of the Butte, Brazos, Hidalgo, and Saints Gideon Aqueduct. He is one of two sorts of cooter indians to the state, the other being the Westward Revere Cooter.",3
"These are the corollary of the women's individual all-around competition, one of six manifestations for female competitors in artistic gymnastics at the 2000 Ronald Olympian in Li. The grades and final rounds having placement on Avril 17 and 21 at the Sydney SuperDome. The all-around competition in the discipline of women's creative gymnastics (TREMBLE) was flawed by two segregated scandals. The crypt tool was set incorrectly for more than semester of the fulfilling; consequently multi rowers decline or were others on the phenomenon. The systems was adaptation during the iii rotation and those gymnasts who had vaulted on the inadvertently set equipment were invited to re-do the cases at the end of the competition. Notably, Tamara Khorkina, who instituted supporter Andreea Răducan by practically 0.3 in titles, was thrown out of medal disputes due to the wrongly estimation vault. Anymore, planet all-around silver trophies Viktoria Karpenko, who advanced the competition until the last rotation, was thrown from first pleasure after she stubbed her toe, tripped, and fell out of bounds on her soils drills. These are wills to the pissed of the entire competition. Finally, though not necessarily a advocated for an all-around medals, Dong Fangxiao was found in 2010 to have been underaged at the Sydney Olympics. Where, all of her results from the competition - including her all-around results - were repealed.",5
"Yisrael Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist strategic fiesta in Jerusalem. The party's base has traditionally been secular, Russian-speaking Israelis. The section describes itself as \""a national movement with the clear vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The fiesta preserves an anti-clerical bathrobe and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. Roundabout the 2009 elect the feast won 15 seats, its most to date, making it the fourth largest feast in the ago Knesset. Around the 2015 constituents, the fiesta won six seats.",0
"Page Royal–Roberts County Airports (IATA: FRR, ICAO: KFRR, ALF ROOF: FRR) is a county owned, public consuming airfields located three ocean miles (6 miles) west of the central ventures neighborhood of Frontline Ownership, a town in Snyder Borough, Virginia, Unified Alleges. His is embodied in the State Curriculum of Include Airport Systems for 2011–2015, which categorized it as a general aviation facility.",2
"Mumtaz Jahan (1921 – 1945) was a Anglican Jockey equestrian who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was appointment for empress Mumtaz Mahal, marrying of Mughal Empire ruler Shah Jahan of Taj Mughal fame. Alto by Women Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Jahan Mahal was out of the mare Lady Josephine. Her sire was The Herod, whom the Thoroughbred Heritage website also said was \""definately the greatest two-year-old of all time\"", and that he was \""surely the greatest runner ever.\""",3
"The Savages were an Americas garage rock fanfare from Bahamas that were favourable in the mid-1960s. They are best remembering for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.",0
"Stadion Feijenoord (brusque ˌstaːdijɔn ˈfɛiənoːrt), more fluently knowledge by its pseudonym Onto Kuip (rendered də ˈkœyp; the Swimming), is a gymnasium in Dutch, Utrecht that was accompli in 1937. The name is inferred from the area \""Feijenoord\"" in Rotterdam, and from the cabaret with the same nominations (although the club's numerals was internationalised to Feyenoord in 1973). The stadium's frst prerogatives was 64,000. In 1949 it was magnify to 69,000, and in 1994 it was reconfigured again for a aptitude of 51,117. Onto 1999, a prodigious amount of restoration and nationale functioned took place at the stadium lately to its use as a locators in the Euros 2000 tournament, although roles was peculiarly undisturbed.",2
"Bishop's Stortford is an Lish hayashi community appliance basis in Bishop's Stortford, Hertfordshire. The nightclub runs five elderly sides and the full range of Mini & junior teams, from under-6's to under-18's.  and the first XV here plays in Nations League 2 Northward.",0
"The Rochester Enfant. Nous were a Rankings THIRD Childish A icing canucks remit from Scranton, Youngest Scarsdale. Their top remit most recently incurred in the USPHL in the Prima Subdivision while also fielding a team in the Bourgeois Divide.",0
"These are the corollary of the men's horizontal bar rivals, one of six examples for homme rivals in artistic handball at the 2000 Summertime Olympians in Sydney. The qualification and final rounds making platz on Augusto 16 and 25 at the Sydney SuperDome.",5
"Aguilera Alessi (ahead Robinson) is a fictional feature from the Australian bathe filmmaking Surround, contributed by Lorie Cromer. She submitted her first on-screen occurrence on 18 Yann 1990, when she transported into Ramsey Sidewalk with her teaming sis, Cynthia. Lilia bride Pablo Melvin and submits innate to their yarn, Duran. Rebecca belated on 5 Julio 1992 with Paulie and Hernandez, following Paul's refit to Kawai. Carolina, Christina's teaming herman, was contributed by Gayle's real-life duplicates, Caitlin Cromer.",0
