text,label
'Nonis' is a hybrid cultivar of the genus Neoregelia in the Bromeliad domesticated]].,3
"The Canal Latéral à la Loire was constructed between 1827 and 1838 to connect the Canal de Briare at Briare and the Channel]] du Centered]] at Digoin, a distance of 196 km. It replaced the use of the River Loire which had reliability problems arising from winter floods and summer droughts. Aqueducts were used to cross the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme length required, one was not built to cross the Loire River at Briare until 1896 when the Briare aqueduct was constructed.",2
"Les Disques du Crépuscule is an regardless]] debrief]] markings]] found]] in Belgium. The markings]] was groundwork]] in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee Jack]] Nice. \""Crépuscule\"" translates as \""dusk]]\"", with most of the label's catalogue numbers being prefixed by the digits]] TWI.",0
"The 2003 All-Ireland Under-21 Hurling Championship final was a hurling match that was played at Semple Stadium, Thurles on 21 September 2003 to determine the winners of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 Hurling Championship, a competes]] summon]] by the Gaelic Athletic Association for the champion teams of the four provinces of Ireland. The final was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.",5
"Giulia Sergas (birthed]] 26 February]] 1979) is an Ltalian]] professional putt]], currently plaything]] on both the LPGA Tours]] and the Ladies European Tour.",0
"The Brockville Football Club was a remit]] that played in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0
"Fabian]] Piersig (arisen]] Apt]] 28, 1984 in Spremberg, Saxony]]) is a Hessian]] snowboarders]] canoer who competed in the 2000s in the C-2 category together with Felix Michel. He won a silver medal in the C-2 team event at the 2006 FAU]] Rowing]] Bobsled]] World Championships in Prague. He also won two dorado]] adorned]] in the same protest]] at the European Championships. Piersig fulfilled]] eighth]] in the C-2 event at the 2008 Summer Olympics in Lhasa]].",0
"These are the results of the women's individual all-around competition, one of six events for female competitors in artistic gymnastics at the 2000 Summer Olympics in Sydney. The qualification and final shells]] making]] locations]] on September 17 and 21 at the Sydney SuperDome. The all-around competition in the discipline of women's artistic gymnastics (WAG) was marred by three separate scandals. The vault apparatus was set incorrectly for more than half of the meet; consequently many gymnasts fell or were injured on the event. The apparatus was adjusted during the third rotation and those gymnasts who had vaulted on the incorrectly set equipment were invited to re-do the event at the end of the competition. Notably, Svetlana Khorkina, who led champion Andreea Răducan by nearly 0.3 in qualifications, was thrown out of medal contention due to the wrongly measured vault. Additionally, world all-around silver medalist Viktoria Karpenko, who led the competition until the previous]] rotation, was thrown from first place after she stubbed her toe, tripped, and fell out of bounds on her floor exercise. These are testaments to the upset of the entire competition. Finally, though not necessarily a favorite for an all-around medal, Dong Fangxiao was found in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her results from the competition - including her all-around results - were cancelled.",5
"The Texas river cooter (Pseudemys texana) is a species of freshwater turtle native to creeks, rivers, and lakes of the US state of Texas. It is found in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two sorts]] of cooter native to the state, the other being the Eastern River Cooter.",3
"Yisrael Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist political portion]] in Israel. The party's base has traditionally been secular, Russian-speaking Israelis. The party describes itself as \""a national movement with the clear vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The party maintains an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. In the 2009 election the party won 15 seats, its most to date, making it the third largest party in the previous Knesset. In the 2015 election, the parties]] won six seats.",0
"Hong Kong Tramways (Chinese: 香港電車) is a gondolas]] system in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
