"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war [[risk]] [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk [[insuarnce]] SINGAPORE : The government is extending third-party war [[rifk]] [[insurace]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[irlines]] group.",0.00051116943359375,0.9739571213722229,2,0,2,48,"Successful"
"Mills Grabs \$[[1B]] Portfolio; [[Taubman]] Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine [[malls]] owned by General Motors Asset Management Corp. for just over \$1 billion, creating a new joint [[venture]] between the groups. The deal will extend ...","Mills Grabs \$[[B]] Portfolio; [[TaLbman]] Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine [[maglls]] owned by General Motors Asset Management Corp. for just over \$1 billion, creating a new joint [[veture]] between the groups. The deal will extend ...",0.00035369396209716797,0.001508474349975586,2,2,2,161,"Failed"
"Sun to shine spotlight on new operating system, [[Solaris]] 10 [[Sun]] Microsystems SUNW is expected to release a new version of its operating system [[today]] - a big [[part]] of the struggling [[computer]] [[maker]] #[[39]];s [[plan]] to [[save]] itself.","Sun to shine spotlight on new operating system, [[Solarsi]] 10 [[uSn]] Microsystems SUNW is expected to release a new version of its operating system [[toay]] - a big [[prat]] of the struggling [[cmputer]] [[mYker]] #[[3]];s [[bplan]] to [[skve]] itself.",0.0437542200088501,0.5050251483917236,3,2,3,107,"Successful"
"Fed [[Cup]] all tied up [[FRANCE]] #39;S [[Russian-born]] Tatiana [[Golovin]] left the Fed [[Cup]] [[final]] [[hanging]] in the balance [[today]] as she [[beat]] Russia #[[39]];s [[US]] Open [[champion]] [[Svetlana]] [[Kuznetsova]] 6-4, [[6-1]] to [[level]] the [[tie]] at 2-2 and [[take]] it to the [[final]] [[doubles]] [[match]].","Fed [[uCp]] all tied up [[FRACNE]] #39;S [[RussianDborn]] Tatiana [[Qolovin]] left the Fed [[kCup]] [[fianl]] [[anging]] in the balance [[tday]] as she [[Sbeat]] Russia #[[93]];s [[SU]] Open [[champino]] [[Sveltana]] [[Kuznetsov]] 6-4, [[6-C1]] to [[leel]] the [[tei]] at 2-2 and [[takZe]] it to the [[fnal]] [[doubPes]] [[mtach]].",6.520748138427734e-05,0.000522911548614502,1,1,1,153,"Failed"
"[[Nokia]] announces [[Near]] Field [[Communication]] products With the [[Nokia]] [[NFC]] (Near Field Communication) shell on their phone, consumers will be able to access a [[variety]] of services and exchange information with a simple touch gesture.","[[okia]] announces [[eNar]] Field [[Cmomunication]] products With the [[okia]] [[NFX]] (Near Field Communication) shell on their phone, consumers will be able to access a [[varicety]] of services and exchange information with a simple touch gesture.",0.00018900632858276367,0.5683525800704956,3,2,3,53,"Successful"
"Today in [[Athens]] [[Leontien]] [[Zijlaard-van]] [[Moorsel]] of the [[Netherlands]] [[wipes]] a [[tear]] after [[winning]] the [[gold]] [[medal]] in the women #[[39]];s road [[cycling]] [[individual]] [[time]] trial at the Vouliagmeni [[Olympic]] Centre in [[Athens]] on [[Wednesday]]. ","Today in [[thens]] [[Lenotien]] [[Zijlaad-van]] [[Mooresl]] of the [[Nethrlands]] [[wipse]] a [[ter]] after [[winwing]] the [[gld]] [[mGedal]] in the women #[[9]];s road [[cycilng]] [[idividual]] [[timje]] trial at the Vouliagmeni [[OTlympic]] Centre in [[Atens]] on [[Wednedsday]]. ",0.00013065338134765625,0.4412713646888733,1,1,1,115,"Failed"
"Govt. to [[Test]] New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to [[TBst]] New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.28584998846054077,0.5641180872917175,3,2,3,32,"Successful"
"President [[Hu]] [[congratulates]] Sihamoni on becoming king of [[Cambodia]] Chinese President [[Hu]] Jintao [[sent]] a message to [[Norodom]] [[Sihamoni]] on [[Thursday]] to [[congratulate]] him on his election as the [[king]] of [[Cambodia]].","President [[uH]] [[conEratulates]] Sihamoni on becoming king of [[Cmabodia]] Chinese President [[eu]] Jintao [[ent]] a message to [[Norodcm]] [[SiRamoni]] on [[Thurhsday]] to [[congratulaet]] him on his election as the [[knig]] of [[Camodia]].",0.0002810359001159668,0.030669987201690674,0,0,0,101,"Failed"
"[[Afghans]] rocky road to historic [[elections]] [[KALAKAN]], [[Afghanistan]] [[There]] were [[toothless]] [[old]] [[men]], [[turbaned]] and [[gray-bearded]], and [[young]] [[men]] not yet [[old]] enough to shave. [[There]] were [[mullahs]] and mujahedeen, and the presidential candidate #[[39]];s 3-year-old [[son]].","[[Afhans]] rocky road to historic [[eletcions]] [[BKALAKAN]], [[Afghanystan]] [[SThere]] were [[tothless]] [[Ild]] [[dmen]], [[turtbaned]] and [[gray-berrded]], and [[fyoung]] [[emn]] not yet [[olz]] enough to shave. [[TherW]] were [[mullhas]] and mujahedeen, and the presidential candidate #[[3]];s 3-year-old [[osn]].",0.00024455785751342773,0.9126526713371277,0,1,0,94,"Successful"
"Oil Prices [[Set]] a New [[Record]] Above \$50  SINGAPORE ([[Reuters]]) - [[Oil]] prices set a [[new]] [[record]] above \$[[50]]  a [[barrel]] on Tuesday as a [[prolonged]] U.S. [[production]] outage  following [[Hurricane]] [[Ivan]] attracted fresh [[speculative]] [[buying]].","Oil Prices [[wSet]] a New [[RecJrd]] Above \$50  SINGAPORE ([[ReuterTs]]) - [[OiK]] prices set a [[nej]] [[rFecord]] above \$[[5r]]  a [[barrl]] on Tuesday as a [[polonged]] U.S. [[prodction]] outage  following [[Hurricaen]] [[Iavn]] attracted fresh [[speeculative]] [[bDuying]].",0.0002486109733581543,0.003092944622039795,2,2,2,137,"Failed"
