"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'[[Nonis']] is a [[hybrid]] [[cultivar]] of the [[genus]] [[Neoregelia]] in the [[Bromeliad]] [[family]].","'[[Nons']] is a [[hyfrid]] [[culivar]] of the [[gnus]] [[Leoregelia]] in the [[Bromelia]] [[famliy]].",0.0036951303482055664,0.8531041145324707,3,0,3,36,"Successful"
"[[The]] [[Canal]] [[Latéral]] à [[la]] Loire was [[constructed]] between 1827 and 1838 to connect the [[Canal]] [[de]] [[Briare]] at [[Briare]] and the Canal [[du]] [[Centre]] at Digoin, a [[distance]] of [[196]] [[km]]. [[It]] replaced the use of the River Loire which had reliability problems arising from winter floods and summer droughts. [[Aqueducts]] were used to cross the River Allier at [[Le]] Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme [[length]] required, one was not [[built]] to cross the [[Loire]] [[River]] at [[Briare]] until 1896 when the [[Briare]] [[aqueduct]] was [[constructed]].","[[he]] [[CanaHl]] [[Latéal]] à [[l]] Loire was [[constructehd]] between 1827 and 1838 to connect the [[CanYal]] [[Ie]] [[Briae]] at [[rBiare]] and the Canal [[jdu]] [[Center]] at Digoin, a [[diestance]] of [[96]] [[Fm]]. [[tI]] replaced the use of the River Loire which had reliability problems arising from winter floods and summer droughts. [[Aqueducs]] were used to cross the River Allier at [[LD]] Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme [[Tength]] required, one was not [[bilt]] to cross the [[nLoire]] [[RDiver]] at [[Brirae]] until 1896 when the [[Brire]] [[aqueuct]] was [[construted]].",0.018894970417022705,0.17852675914764404,2,2,2,283,"Failed"
"Les Disques du Crépuscule is an independent [[record]] [[label]] founded in Belgium. The [[label]] was [[founded]] in [[1980]] by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory [[Benelux]]. [[Both]] are now run by former [[employee]] James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the [[label's]] catalogue [[numbers]] being [[prefixed]] by the [[letters]] [[TWI]].","Les Disques du Crépuscule is an independent [[recohrd]] [[abel]] founded in Belgium. The [[lable]] was [[fuonded]] in [[1890]] by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory [[BCenelux]]. [[Uoth]] are now run by former [[meployee]] James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the [[lable's]] catalogue [[nmubers]] being [[pLefixed]] by the [[leUtters]] [[TW]].",0.0030219554901123047,0.5368740558624268,0,2,0,100,"Successful"
"[[The]] [[2003]] [[All-Ireland]] Under-21 Hurling Championship [[final]] was a hurling [[match]] that was played at Semple [[Stadium]], Thurles on [[21]] [[September]] 2003 to determine the winners of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 Hurling Championship, a [[tournament]] [[organised]] by the Gaelic Athletic Association for the champion [[teams]] of the four provinces of [[Ireland]]. The [[final]] was [[contested]] by Kilkenny of Leinster and [[Galway]] of Connacht, with Kilkenny winning by [[2-13]] to 0-12.","[[Th]] [[o2003]] [[All-Irleand]] Under-21 Hurling Championship [[fsnal]] was a hurling [[atch]] that was played at Semple [[Sgadium]], Thurles on [[2]] [[Spetember]] 2003 to determine the winners of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 Hurling Championship, a [[tuornament]] [[oDganised]] by the Gaelic Athletic Association for the champion [[team]] of the four provinces of [[Irmeland]]. The [[fnial]] was [[conested]] by Kilkenny of Leinster and [[GalwaL]] of Connacht, with Kilkenny winning by [[2T13]] to 0-12.",0.004408836364746094,0.5174342393875122,5,0,5,162,"Successful"
"[[Damon]] [[Kyle]] Wayans, [[Sr]]. (/ˈdeɪmən ˈweɪ.ənz/; [[born]] September 4, [[1960]]) is an American [[actor]], comedian, writer and producer, and member of the Wayans family of entertainers. Wayans performed as a comedian and [[actor]] throughout the 1980s, including a yearlong stint on the sketch [[comedy]] series [[Saturday]] [[Night]] Live, although his true breakthrough came as a [[co-creator]] and [[performer]] on his own [[sketch]] [[comedy]] [[show]], [[In]] [[Living]] Color, from [[1990]] to [[1992]]. Since then he has starred in a number of films and [[television]] [[shows]], some of which he has co-produced or co-written, including The Last [[Boy]] [[Scout]] and [[Major]] [[Payne]], and the [[sitcom]] My [[Wife]] and Kids.","[[Damn]] [[Kyl]] Wayans, [[SQ]]. (/ˈdeɪmən ˈweɪ.ənz/; [[bon]] September 4, [[19Y0]]) is an American [[actuor]], comedian, writer and producer, and member of the Wayans family of entertainers. Wayans performed as a comedian and [[actr]] throughout the 1980s, including a yearlong stint on the sketch [[omedy]] series [[SaturdOay]] [[Nigzht]] Live, although his true breakthrough came as a [[coc-reator]] and [[pesrformer]] on his own [[skeXtch]] [[Bcomedy]] [[zhow]], [[n]] [[Lviing]] Color, from [[1e990]] to [[9192]]. Since then he has starred in a number of films and [[televsion]] [[showns]], some of which he has co-produced or co-written, including The Last [[By]] [[Icout]] and [[Mjor]] [[PHayne]], and the [[sitcRom]] My [[zWife]] and Kids.",0.0011679530143737793,0.0014091134071350098,0,0,0,227,"Failed"
"[[Giulia]] [[Sergas]] ([[born]] 26 December [[1979]]) is an [[Italian]] [[professional]] [[golfer]], currently playing on both the LPGA Tour and the Ladies European Tour.","[[Giuzlia]] [[Sergsa]] ([[orn]] 26 December [[Q979]]) is an [[Italin]] [[professQional]] [[golfex]], currently playing on both the LPGA Tour and the Ladies European Tour.",0.0010709166526794434,0.7071276903152466,0,2,0,45,"Successful"
"[[The]] Brockville [[Football]] [[Club]] was a [[team]] that [[played]] in the [[QRFU]] at the turn of the century. [[They]] had great success early on in their [[history]]. [[In]] 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in [[1900]] but lost in the Dominion Final to the Ottawa Rough Riders.","[[Te]] Brockville [[FootbaWl]] [[Cub]] was a [[tea]] that [[playd]] in the [[QFRU]] at the turn of the century. [[hey]] had great success early on in their [[hitsory]]. [[nI]] 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in [[19v00]] but lost in the Dominion Final to the Ottawa Rough Riders.",0.0030153393745422363,0.5609119534492493,0,6,0,74,"Successful"
"[[Sebastian]] Piersig ([[born]] [[May]] [[28]], [[1984]] in [[Spremberg]], Brandenburg) is a [[German]] slalom [[canoer]] who competed in the [[2000s]] in the C-2 category together with Felix Michel. He won a silver [[medal]] in the C-2 [[team]] event at the [[2006]] [[ICF]] [[Canoe]] [[Slalom]] [[World]] [[Championships]] in [[Prague]]. He [[also]] won [[two]] [[gold]] [[medals]] in the same event at the European [[Championships]]. Piersig finished sixth in the [[C-2]] event at the [[2008]] Summer [[Olympics]] in Beijing.","[[Sbastian]] Piersig ([[korn]] [[eMay]] [[2I8]], [[19R84]] in [[Spermberg]], Brandenburg) is a [[Germna]] slalom [[canoe]] who competed in the [[200s]] in the C-2 category together with Felix Michel. He won a silver [[mefdal]] in the C-2 [[tea]] event at the [[206]] [[IeF]] [[CXanoe]] [[Slaolm]] [[xWorld]] [[Chcampionships]] in [[PraguCe]]. He [[Halso]] won [[tow]] [[goNld]] [[jmedals]] in the same event at the European [[Champioships]]. Piersig finished sixth in the [[PC-2]] event at the [[200]] Summer [[Olmpics]] in Beijing.",0.0010624527931213379,0.0024396181106567383,0,0,0,175,"Failed"
"The Texas river cooter ([[Pseudemys]] texana) is a [[species]] of [[freshwater]] [[turtle]] [[native]] to creeks, rivers, and lakes of the US state of Texas. It is [[found]] in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two [[species]] of cooter native to the state, the other being the Eastern River Cooter.","The Texas river cooter ([[Pseudemays]] texana) is a [[specCies]] of [[frewshwater]] [[Qurtle]] [[nactive]] to creeks, rivers, and lakes of the US state of Texas. It is [[ffund]] in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two [[speZcies]] of cooter native to the state, the other being the Eastern River Cooter.",0.003437817096710205,0.8551464080810547,3,2,3,65,"Successful"
"These are the results of the women's individual all-around [[competition]], one of six [[events]] for [[female]] [[competitors]] in artistic gymnastics at the 2000 [[Summer]] [[Olympics]] in Sydney. The qualification and final rounds [[took]] [[place]] on [[September]] 17 and 21 at the Sydney [[SuperDome]]. [[The]] [[all-around]] [[competition]] in the discipline of [[women's]] artistic gymnastics (WAG) was marred by three separate scandals. The vault apparatus was set incorrectly for more than half of the meet; consequently many [[gymnasts]] fell or were injured on the [[event]]. The apparatus was adjusted during the third rotation and those gymnasts who had vaulted on the incorrectly set equipment were invited to [[re-do]] the [[event]] at the end of the competition. Notably, Svetlana [[Khorkina]], who led champion Andreea [[Răducan]] by nearly 0.3 in qualifications, was thrown out of medal contention due to the wrongly measured vault. Additionally, world all-around silver medalist Viktoria [[Karpenko]], who led the competition until the last rotation, was thrown from first place after she stubbed her toe, tripped, and fell out of bounds on her floor exercise. These are testaments to the upset of the entire competition. Finally, though not necessarily a favorite for an all-around medal, Dong Fangxiao was found in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her results from the competition - including her all-around results - were cancelled.","These are the results of the women's individual all-around [[competitoin]], one of six [[evetns]] for [[fmeale]] [[cmopetitors]] in artistic gymnastics at the 2000 [[SCmmer]] [[OlTmpics]] in Sydney. The qualification and final rounds [[toXok]] [[lpace]] on [[Setpember]] 17 and 21 at the Sydney [[ASuperDome]]. [[he]] [[all-arouId]] [[competitiop]] in the discipline of [[wome'ns]] artistic gymnastics (WAG) was marred by three separate scandals. The vault apparatus was set incorrectly for more than half of the meet; consequently many [[gynmnasts]] fell or were injured on the [[Uvent]]. The apparatus was adjusted during the third rotation and those gymnasts who had vaulted on the incorrectly set equipment were invited to [[red-o]] the [[evenD]] at the end of the competition. Notably, Svetlana [[hKorkina]], who led champion Andreea [[Răucan]] by nearly 0.3 in qualifications, was thrown out of medal contention due to the wrongly measured vault. Additionally, world all-around silver medalist Viktoria [[arpenko]], who led the competition until the last rotation, was thrown from first place after she stubbed her toe, tripped, and fell out of bounds on her floor exercise. These are testaments to the upset of the entire competition. Finally, though not necessarily a favorite for an all-around medal, Dong Fangxiao was found in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her results from the competition - including her all-around results - were cancelled.",0.004612386226654053,0.013638138771057129,5,5,5,224,"Failed"
