"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'[[Nonis']] is a hybrid cultivar of the genus [[Neoregelia]] in the [[Bromeliad]] family.","'[[Noniѕ']] is a hybrid cultivar of the genus [[Neoregeⅼia]] in the [[Bonsai]] family.",0.004239380359649658,0.0046350955963134766,3,3,3,41,"Failed"
"The [[Canal]] [[Latéral]] [[à]] la Loire was [[constructed]] between 1827 and 1838 to [[connect]] the [[Canal]] [[de]] Briare at Briare and the Canal [[du]] [[Centre]] at [[Digoin]], a [[distance]] of [[196]] [[km]]. [[It]] [[replaced]] the [[use]] of the [[River]] Loire which had [[reliability]] [[problems]] arising from [[winter]] floods and [[summer]] droughts. Aqueducts were [[used]] to [[cross]] the [[River]] Allier at [[Le]] Guétin (in the [[commune]] of Cuffy) and the [[River]] [[Loire]] at [[Digoin]], but because of the extreme [[length]] required, [[one]] was not [[built]] to cross the [[Loire]] River at Briare until 1896 when the Briare aqueduct was constructed.","The [[Canals]] [[Latérɑl]] [[dans]] la Loire was [[constructing]] between 1827 and 1838 to [[conncet]] the [[Canals]] [[to]] Briare at Briare and the Canal [[the]] [[Centrе]] at [[Digin]], a [[away]] of [[1৭6]] [[kilometres]]. [[He]] [[replacеd]] the [[utilizing]] of the [[Creek]] Loire which had [[re]] [[liability]] [[pro]] [[blems]] arising from [[winteⲅ]] floods and [[sumer]] droughts. Aqueducts were [[usd]] to [[traversed]] the [[Rio]] Allier at [[The]] Guétin (in the [[township]] of Cuffy) and the [[Creek]] [[Aquitaine]] at [[Digon]], but because of the extreme [[lifespan]] required, [[anyone]] was not [[b]] [[uilt]] to cross the [[Aquitaine]] River at Briare until 1896 when the Briare aqueduct was constructed.",0.01623249053955078,0.36647534370422363,2,2,2,516,"Failed"
"Les Disques du Crépuscule is an independent [[record]] [[label]] founded in Belgium. [[The]] [[label]] was [[founded]] in 1980 by Michel Duval and Annik Honoré. It also had a [[prominent]] associated [[sublabel]], [[Factory]] Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent [[recording]] [[la]] [[bel]] founded in Belgium. [[T]] [[he]] [[etiquette]] was [[fouոded]] in 1980 by Michel Duval and Annik Honoré. It also had a [[conspicuous]] associated [[suЬlabel]], [[Fctory]] Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0.001964271068572998,0.599360466003418,0,1,0,146,"Successful"
"[[The]] [[2003]] [[All-Ireland]] Under-21 Hurling Championship [[final]] was a hurling [[match]] that was played at Semple Stadium, Thurles on 21 September 2003 to determine the winners of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 Hurling Championship, a tournament organised by the Gaelic Athletic Association for the champion teams of the four provinces of Ireland. The final was [[contested]] by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.","[[Nova]] [[ᒿ003]] [[AllIreland]] Under-21 Hurling Championship [[last]] was a hurling [[pairing]] that was played at Semple Stadium, Thurles on 21 September 2003 to determine the winners of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 Hurling Championship, a tournament organised by the Gaelic Athletic Association for the champion teams of the four provinces of Ireland. The final was [[conetsted]] by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.",0.005405604839324951,0.5166805386543274,5,0,5,121,"Successful"
"[[Damon]] [[Kyle]] [[Wayans]], [[Sr]]. (/ˈdeɪmən [[ˈweɪ]].[[ənz]]/; born [[September]] [[4]], 1960) is an [[American]] [[actor]], comedian, writer and producer, and [[member]] of the Wayans [[family]] of entertainers. [[Wayans]] [[performed]] as a comedian and [[actor]] throughout the [[1980s]], [[including]] a yearlong [[stint]] on the sketch [[comedy]] [[series]] [[Saturday]] [[Night]] [[Live]], [[although]] his true breakthrough [[came]] as a [[co-creator]] and [[performer]] on his own [[sketch]] comedy [[show]], [[In]] [[Living]] [[Color]], from [[1990]] to 1992. Since then he has starred in a number of films and [[television]] [[shows]], some of which he has co-produced or co-written, including [[The]] Last [[Boy]] [[Scout]] and [[Major]] Payne, and the [[sitcom]] [[My]] [[Wife]] and [[Kids]].","[[Daｍon]] [[Kyⅼe]] [[Wayaոs]], [[Sⲅ]]. (/ˈdeɪmən [[ˈewɪ]].[[əz]]/; born [[Janvier]] [[Ꮞ]], 1960) is an [[Americɑn]] [[protagonist]], comedian, writer and producer, and [[limbs]] of the Wayans [[relatives]] of entertainers. [[Wayanѕ]] [[fulfilled]] as a comedian and [[protagonist]] throughout the [[1980ѕ]], [[containing]] a yearlong [[rejoining]] on the sketch [[humor]] [[installment]] [[Saturԁay]] [[Nocturnal]] [[Livе]], [[al𝚝hough]] his true breakthrough [[ca]] [[me]] as a [[coc-reator]] and [[artists]] on his own [[skit]] comedy [[exhibition]], [[Onto]] [[Inhabit]] [[Colored]], from [[19৭0]] to 1992. Since then he has starred in a number of films and [[televіsion]] [[illustrates]], some of which he has co-produced or co-written, including [[Thе]] Last [[Boys]] [[Scoսt]] and [[Important]] Payne, and the [[humorist]] [[Mes]] [[Women]] and [[Kidѕ]].",0.0012212395668029785,0.004337131977081299,0,0,0,565,"Failed"
"Giulia Sergas (born 26 [[December]] 1979) is an [[Italian]] professional [[golfer]], currently playing on both the LPGA [[Tour]] and the Ladies European [[Tour]].","Giulia Sergas (born 26 [[February]] 1979) is an [[Italіan]] professional [[ɡolfer]], currently playing on both the LPGA [[Journey]] and the Ladies European [[Tours]].",0.0010986328125,0.0011702179908752441,0,0,0,125,"Failed"
"The [[Brockville]] Football [[Club]] was a [[team]] that [[played]] in the [[QRFU]] at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the [[Quebec]] finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","The [[Brockvilⅼe]] Football [[Clubhouse]] was a [[teaｍ]] that [[served]] in the [[QR]] [[FU]] at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the [[Montreal]] finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0.001661062240600586,0.8694519996643066,0,2,0,110,"Successful"
"[[Sebastian]] [[Piersig]] (born [[May]] 28, 1984 in [[Spremberg]], [[Brandenburg]]) is a German [[slalom]] [[canoer]] who [[competed]] in the [[2000s]] in the C-2 [[category]] [[together]] with [[Felix]] [[Michel]]. He won a [[silver]] medal in the C-2 [[team]] event at the [[2006]] ICF [[Canoe]] [[Slalom]] [[World]] Championships in [[Prague]]. He [[also]] won two [[gold]] medals in the same event at the [[European]] [[Championships]]. [[Piersig]] finished sixth in the C-2 event at the [[2008]] [[Summer]] [[Olympics]] in [[Beijing]].","[[Sebastien]] [[Pierѕig]] (born [[Maу]] 28, 1984 in [[Sprembeⲅg]], [[Hesse]]) is a German [[slaloｍ]] [[canoeⲅ]] who [[engaged]] in the [[2000ѕ]] in the C-2 [[categories]] [[totality]] with [[Fеlix]] [[Mic]] [[hel]]. He won a [[money]] medal in the C-2 [[teams]] event at the [[ᒿ006]] ICF [[Cane]] [[Skis]] [[Wоrld]] Championships in [[Pⲅague]]. He [[similarly]] won two [[gilded]] medals in the same event at the [[Euⲅopean]] [[Championshipѕ]]. [[Pierѕig]] finished sixth in the C-2 event at the [[208]] [[Sսmmer]] [[Olympiad]] in [[Beij]] [[ing]].",0.0011398792266845703,0.002144157886505127,0,0,0,414,"Failed"
"These are the [[results]] of the [[women's]] individual all-around competition, [[one]] of [[six]] [[events]] for female [[competitors]] in artistic gymnastics at the [[2000]] [[Summer]] [[Olympics]] in [[Sydney]]. The [[qualification]] and final rounds [[took]] [[place]] on [[September]] [[17]] and [[21]] at the [[Sydney]] SuperDome. [[The]] all-around competition in the [[discipline]] of [[women's]] [[artistic]] gymnastics ([[WAG]]) was [[marred]] by [[three]] [[separate]] scandals. [[The]] [[vault]] [[apparatus]] was [[set]] incorrectly for more than [[half]] of the [[meet]]; [[consequently]] many gymnasts [[fell]] or were [[injured]] on the [[event]]. The [[apparatus]] was [[adjusted]] during the [[third]] rotation and those [[gymnasts]] who had [[vaulted]] on the [[incorrectly]] [[set]] equipment were [[invited]] to [[re-do]] the [[event]] at the end of the competition. [[Notably]], [[Svetlana]] [[Khorkina]], who [[led]] [[champion]] Andreea Răducan by [[nearly]] [[0]].[[3]] in [[qualifications]], was [[thrown]] out of medal [[contention]] [[due]] to the [[wrongly]] [[measured]] [[vault]]. [[Additionally]], [[world]] [[all-around]] silver [[medalist]] [[Viktoria]] [[Karpenko]], who [[led]] the competition until the [[last]] rotation, was thrown from first [[place]] after she stubbed her toe, tripped, and fell out of bounds on her floor [[exercise]]. These are [[testaments]] to the [[upset]] of the entire [[competition]]. Finally, though not necessarily a [[favorite]] for an [[all-around]] [[medal]], [[Dong]] [[Fangxiao]] was found in 2010 to have been underaged at the Sydney Olympics. [[Consequently]], all of her results from the competition - [[including]] her all-around results - were [[cancelled]].","These are the [[resluts]] of the [[women`s]] individual all-around competition, [[anyone]] of [[ѕix]] [[eventѕ]] for female [[rivals]] in artistic gymnastics at the [[ᒿ000]] [[Summeⲅ]] [[Olymics]] in [[Syԁney]]. The [[eligibility]] and final rounds [[too𝒌]] [[placing]] on [[Sеptember]] [[1𝟕]] and [[ᒿ1]] at the [[Syԁney]] SuperDome. [[To]] all-around competition in the [[disciplinary]] of [[women'ѕ]] [[artistiϲ]] gymnastics ([[WG]]) was [[marreԁ]] by [[tre]] [[discrete]] scandals. [[Nova]] [[vaul𝚝]] [[device]] was [[configured]] incorrectly for more than [[medium]] of the [[cater]]; [[thus]] many gymnasts [[declined]] or were [[injureԁ]] on the [[even𝚝]]. The [[apparatuѕ]] was [[adjust]] during the [[thirds]] rotation and those [[gymnastic]] who had [[vaulteԁ]] on the [[incorrectⅼy]] [[se𝚝]] equipment were [[inviteԁ]] to [[re˗do]] the [[even𝚝]] at the end of the competition. [[Especially]], [[Svеtlana]] [[Khokrina]], who [[spearheaded]] [[champions]] Andreea Răducan by [[roughly]] [[O]].[[Ʒ]] in [[eligibility]], was [[cast]] out of medal [[controversy]] [[owed]] to the [[unfairly]] [[measureԁ]] [[crypt]]. [[Additionallу]], [[word]] [[all-arounԁ]] silver [[medal]] [[ist]] [[Vіktoria]] [[Karpen𝒌o]], who [[leԁ]] the competition until the [[latter]] rotation, was thrown from first [[placе]] after she stubbed her toe, tripped, and fell out of bounds on her floor [[drills]]. These are [[wills]] to the [[uspet]] of the entire [[competitiоn]]. Finally, though not necessarily a [[preferred]] for an [[all˗around]] [[decoration]], [[Excrement]] [[Fangixao]] was found in 2010 to have been underaged at the Sydney Olympics. [[Co]] [[nsequently]], all of her results from the competition - [[includinɡ]] her all-around results - were [[revoked]].",0.00511014461517334,0.5173494815826416,5,0,5,1308,"Successful"
"The Texas river [[cooter]] ([[Pseudemys]] [[texana]]) is a [[species]] of freshwater [[turtle]] [[native]] to creeks, rivers, and lakes of the [[US]] state of Texas. It is [[found]] in the river basins of the [[Colorado]], [[Brazos]], Guadalupe, and San Antonio [[Rivers]]. It is one of two species of cooter native to the state, the other being the Eastern River Cooter.","The Texas river [[cooteⲅ]] ([[Pseudemyѕ]] [[texanɑ]]) is a [[kinds]] of freshwater [[spotted]] [[natives]] to creeks, rivers, and lakes of the [[OURS]] state of Texas. It is [[uncovered]] in the river basins of the [[Colоrado]], [[Braos]], Guadalupe, and San Antonio [[Stream]]. It is one of two species of cooter native to the state, the other being the Eastern River Cooter.",0.0037463903427124023,0.7334757447242737,3,2,3,172,"Successful"
