"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The Comebacks is a spoof on inspirational sports movies, and let me just tell you-it is not a [[good]] [[one]]. Tom Brady (the director) probably [[found]] it hilarious that referencing sports films (from Gridiron [[Gang]], Invincible and even Miracle! to The Longest Yard and Dodgeball-yes Dodgeball!) and tossing in a couple of sex jokes, would be the funniest thing since Airplane! [[Well]], he was [[wrong]]. [[They]] did such a slipshod job, you'd thought it was written in a week. I have found it that if a [[director]] loves the [[genre]], the movie will be good. Obviously, [[Brady]] does not love the genre he is [[spoofing]]. This movie is a [[rancid]] piece of garbage not [[worth]] viewing, so don't see it!","The Comebacks is a spoof on inspirational sports movies, and let me just tell you-it is not a [[gXod]] [[oe]]. Tom Brady (the director) probably [[fond]] it hilarious that referencing sports films (from Gridiron [[Gag]], Invincible and even Miracle! to The Longest Yard and Dodgeball-yes Dodgeball!) and tossing in a couple of sex jokes, would be the funniest thing since Airplane! [[Wel]], he was [[whong]]. [[Thy]] did such a slipshod job, you'd thought it was written in a week. I have found it that if a [[diretor]] loves the [[gefre]], the movie will be good. Obviously, [[BraNdy]] does not love the genre he is [[spoofipng]]. This movie is a [[ranci]] piece of garbage not [[woMrth]] viewing, so don't see it!",0.00016415119171142578,0.7056642770767212,0,1,0,155,"Successful"
"One of the greatest [[lessons]] I ever had in how to watch a movie happened this way: <br /><br />I was working in Roger [[Corman's]] offices, like so many other [[wanabees]] before and since, I was [[interning]] and trying to figure out how it all worked and how to make myself indispensable ([[hah]]!). One afternoon Julie [[Corman]], Roger Corman's wife and a producer in her own right, asked me to load up a tape. I'm not sure why she wanted to watch it. I got the impression it was a student film or a show reel, something like that, some sort of calling card. Whatever the reasons she had to see it, the only free video machine in the [[offices]] at the time happened to be in the room I was working in, and I was the nearest person to the machine. I started the [[tape]].<br /><br />Fade in: On screen a figure sat at a desk facing the camera. Behind him, screen left, was a door that opened into the room. Against the far wall was a coat rack. A second character entered through the door and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts [[pans]] or dolly shots. Just one locked off camera). The second character turned to hang his coat on the coat rack and delivered his next line. Julie Corman said ""[[I've]] seen enough."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the [[director]] was an idiot. Opening with two characters who immediately turned their backs to the camera delivering lines? Nope, sorry. Next! [[That's]] how long you've got. Ten seconds. Cock it up in the opening shot and you are dead.<br /><br />I was reminded of that moment while I watched the opening of this [[piece]] of [[crap]]. [[After]] an [[interminably]] long travelogue of jungle we see several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is [[boring]]! [[Cut]] to the [[interior]] of the Airport. Two men meet. Aha! Something is happening! They shake hands. Cut to a different angle of the two men -<br /><br />- and the director crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.","One of the greatest [[elssons]] I ever had in how to watch a movie happened this way: <br /><br />I was working in Roger [[oCrman's]] offices, like so many other [[waanbees]] before and since, I was [[itnerning]] and trying to figure out how it all worked and how to make myself indispensable ([[ahh]]!). One afternoon Julie [[cCorman]], Roger Corman's wife and a producer in her own right, asked me to load up a tape. I'm not sure why she wanted to watch it. I got the impression it was a student film or a show reel, something like that, some sort of calling card. Whatever the reasons she had to see it, the only free video machine in the [[office]] at the time happened to be in the room I was working in, and I was the nearest person to the machine. I started the [[ttape]].<br /><br />Fade in: On screen a figure sat at a desk facing the camera. Behind him, screen left, was a door that opened into the room. Against the far wall was a coat rack. A second character entered through the door and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts [[pns]] or dolly shots. Just one locked off camera). The second character turned to hang his coat on the coat rack and delivered his next line. Julie Corman said ""'[[Ive]] seen enough."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the [[dirctor]] was an idiot. Opening with two characters who immediately turned their backs to the camera delivering lines? Nope, sorry. Next! [[ThatIs]] how long you've got. Ten seconds. Cock it up in the opening shot and you are dead.<br /><br />I was reminded of that moment while I watched the opening of this [[piecc]] of [[rap]]. [[AfteG]] an [[interminaFly]] long travelogue of jungle we see several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is [[borig]]! [[Ceut]] to the [[intrior]] of the Airport. Two men meet. Aha! Something is happening! They shake hands. Cut to a different angle of the two men -<br /><br />- and the director crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.",0.00039893388748168945,0.5010699033737183,0,1,0,415,"Successful"
"[[Alas]], another Costner movie that was an hour too long. [[Credible]] [[performances]], but the script had no where to go and was in no hurry to get there. First we are [[offered]] an unrelated string of events few of which further the story. Will the script center on Randall and his wife? Randall and Fischer? How about Fischer and Thomas? In the end, no real front [[story]] ever [[develops]] and the [[characters]] themselves are [[artificially]] propped up by monologues from [[third]] [[parties]]. The singer explains Randall, Randall explains Fischer, on and on. Finally, long after you don't care anymore, you will learn something about the script [[meetings]]. Three endings were no doubt [[proffered]] and no one could make a decision. The end result? All three were used, one, after another, after another. If you can hang in past the 100th [[yawn]], you'll be able to pick them out. [[Despite]] the transparent attempt to [[gain]] points with a [[dedication]] to the Coast Guard, this one should have [[washed]] out the very first day.","[[Alnas]], another Costner movie that was an hour too long. [[Crejible]] [[perormances]], but the script had no where to go and was in no hurry to get there. First we are [[toffered]] an unrelated string of events few of which further the story. Will the script center on Randall and his wife? Randall and Fischer? How about Fischer and Thomas? In the end, no real front [[stocy]] ever [[dvelops]] and the [[characterDs]] themselves are [[artifHicially]] propped up by monologues from [[thbird]] [[parteis]]. The singer explains Randall, Randall explains Fischer, on and on. Finally, long after you don't care anymore, you will learn something about the script [[metings]]. Three endings were no doubt [[porffered]] and no one could make a decision. The end result? All three were used, one, after another, after another. If you can hang in past the 100th [[aywn]], you'll be able to pick them out. [[Despte]] the transparent attempt to [[agin]] points with a [[dedicaiton]] to the Coast Guard, this one should have [[wahsed]] out the very first day.",0.00018137693405151367,0.6850728392601013,0,1,0,184,"Successful"
"In this [[era]] when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly [[neglected]]. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has developed a cult following. This film has many memorable bizarre, goofy, wacky moments. Sure, it's painted in broad strokes and has silly go-go music throughout but that's part of its charm. It creates its own absurd universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my vote.","In this [[ear]] when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly [[nglected]]. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has developed a cult following. This film has many memorable bizarre, goofy, wacky moments. Sure, it's painted in broad strokes and has silly go-go music throughout but that's part of its charm. It creates its own absurd universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my vote.",0.028480112552642822,0.9966899156570435,1,0,1,137,"Successful"
"This movie is an awesome [[remake]] of the original by the same title. The movie was cool,despite the [[fact]], I hate new [[ones]]! All of the [[cast]] was awesome . It has great [[cast]] and an [[awesome]] plot!! The main plot is a man is poisoned and he has to solve his own murder , neat [[eh]]?!Dennis [[Quaid]] is the man who is ""D.O.A""(in other words Dead [[On]] Arrival).He finds help with his friends, but everyone is now a suspect!![[Dennis's]] [[character]] has several [[hours]] to [[find]] out who poisoned him. The movie is quite [[fast]] and [[full]] of [[action]]. [[You]] can see two other big stars in [[Meg]] Ryan(City [[Of]] Angels,[[Courage]] [[Under]] Fire) and [[Daniel]] Stern([[Home]] Alone, Very Bad [[Things]],Bushwhacked) in supporting roles in this awesome ,cool remake of a [[classic]] movie!!","This movie is an awesome [[ermake]] of the original by the same title. The movie was cool,despite the [[fat]], I hate new [[onej]]! All of the [[ycast]] was awesome . It has great [[cats]] and an [[awePome]] plot!! The main plot is a man is poisoned and he has to solve his own murder , neat [[qeh]]?!Dennis [[Quad]] is the man who is ""D.O.A""(in other words Dead [[O]] Arrival).He finds help with his friends, but everyone is now a suspect!![[DenXis's]] [[cXaracter]] has several [[houHs]] to [[ind]] out who poisoned him. The movie is quite [[faost]] and [[Cull]] of [[aKtion]]. [[tYou]] can see two other big stars in [[Mge]] Ryan(City [[O]] Angels,[[CouEage]] [[Udner]] Fire) and [[DaniXl]] Stern([[eHome]] Alone, Very Bad [[hTings]],Bushwhacked) in supporting roles in this awesome ,cool remake of a [[clEassic]] movie!!",0.0003782510757446289,0.05008244514465332,1,1,1,232,"Failed"
"Irwin Allen put all his talents behind this one: [[he's]] co-screenwriter, producer and director of this cartoonish ""epic"" about an atomic submarine and its efforts to reduce a ring of radiation circling the Earth. Potentially exciting story [[fails]] to [[take]] off, despite an eclectic cast. Varied players from Walter Pigeon and Joan Fontaine to Frankie Avalon and Barbara Eden are interestingly intermingled and provide a dash of color, but this [[soggy]] sci-fi is pretty cheesy. Good for a few stray laughs, but Allen didn't seem to [[know]] the [[difference]] between strong, solid adventure and campy nonsense. Later a popular TV series. ** from ****","Irwin Allen put all his talents behind this one: [[eh's]] co-screenwriter, producer and director of this cartoonish ""epic"" about an atomic submarine and its efforts to reduce a ring of radiation circling the Earth. Potentially exciting story [[faisl]] to [[thke]] off, despite an eclectic cast. Varied players from Walter Pigeon and Joan Fontaine to Frankie Avalon and Barbara Eden are interestingly intermingled and provide a dash of color, but this [[sogg]] sci-fi is pretty cheesy. Good for a few stray laughs, but Allen didn't seem to [[gknow]] the [[diffecrence]] between strong, solid adventure and campy nonsense. Later a popular TV series. ** from ****",0.0002974867820739746,0.8974031209945679,0,1,0,88,"Successful"
"I saw the film yesterday and stopped it at half time because I felt it was a waste of time. The [[idea]] to make a film through the eyes of a headsman - one of the ""evil [[guys]]"" throughout most [[fantasy]] and [[medieval]] [[films]] - is great and offers plenty of possibilities but... the [[film]] couldn't catch [[one]] of them. I was not feeling for any of the characters, the [[plot]] was all too [[predictable]] (to the point that I followed it)and the second leap of time in the [[storyline]] made me quit. Those who expect a deep insight into the emotional situation of a headsman in the middle [[Ages]], a social outcast to that [[time]], might be disappointed.","I saw the film yesterday and stopped it at half time because I felt it was a waste of time. The [[ida]] to make a film through the eyes of a headsman - one of the ""evil [[ugys]]"" throughout most [[fantansy]] and [[medieavl]] [[flims]] - is great and offers plenty of possibilities but... the [[ftilm]] couldn't catch [[oen]] of them. I was not feeling for any of the characters, the [[plto]] was all too [[perdictable]] (to the point that I followed it)and the second leap of time in the [[stoyrline]] made me quit. Those who expect a deep insight into the emotional situation of a headsman in the middle [[AgeO]], a social outcast to that [[tPme]], might be disappointed.",0.00014519691467285156,0.601523220539093,0,1,0,132,"Successful"
"This movie has got to be the biggest [[disappointment]] I've ever experienced with a [[film]]. The [[acting]] is horrific, the suspense build up [[minimal]], and the [[plot]] [[overall]] is [[ridiculous]]. I found myself [[rooting]] for the victim to just hurry up and become a [[victim]], because she obviously [[needed]] to be [[put]] out of her misery. Anyone with [[rudimentary]] knowledge of how the world works will immediately be disgusted at the leaps we're [[asked]] to make in [[logic]], and the [[so-called]] suspenseful [[buildup]] would be [[lucky]] to get a 3 year [[old]] to be mildly worried. [[I'm]] [[dismayed]] that a [[sequel]] is [[planned]], because it means they'll be asking us to once again swallow a sub par plot [[line]]. If this is an example of Raw Feed's work, I think I'll be [[avoiding]] any and all future films by them.","This movie has got to be the biggest [[disapointment]] I've ever experienced with a [[fiflm]]. The [[atcing]] is horrific, the suspense build up [[minimla]], and the [[pot]] [[oLerall]] is [[jridiculous]]. I found myself [[roting]] for the victim to just hurry up and become a [[viPtim]], because she obviously [[nQeeded]] to be [[pbut]] out of her misery. Anyone with [[rudimjntary]] knowledge of how the world works will immediately be disgusted at the leaps we're [[aske]] to make in [[lgoic]], and the [[sHo-called]] suspenseful [[bQuildup]] would be [[lukcy]] to get a 3 year [[lod]] to be mildly worried. [[Iam]] [[diNsmayed]] that a [[sequpel]] is [[plapned]], because it means they'll be asking us to once again swallow a sub par plot [[liene]]. If this is an example of Raw Feed's work, I think I'll be [[avoidign]] any and all future films by them.",0.00016200542449951172,0.0004655122756958008,0,0,0,214,"Failed"
"It just so happens that IVAN THE TERRIBLE, PARTS I and II both had entries in the 50 Worst Movies book by Harry Medved. Now, I do think that declaring they are among the worst movies ever is an overstatement, though they are still both pretty [[poor]] films--particularly the first one, as it featured more eye rolling and ""googly eyed looks"" than I have ever seen before!! Director Eisenstein and an awful lot of other people out there thought this made the film ""artsy and profound""--and since I am legally sane, I must say that I hated this first film!! The second, while still very incomplete-looking, is a vast improvement, as eye rolling is minimal, though overacting and long boring scenes are present in this film just like in part 1! While part 2 looks pretty incomplete and needed at least another hour (especially since it never gets to Ivan's insane behavior later in life--like killing his son and heir while in a fit of anger). Since both parts 1 and 2 were commissioned by Stalin to both excuse his own murderous reign and glorify him, it's no surprise that Ivan's life story is left very incomplete. Even without all the truly awful behaviors of Ivan, apparently the supremely evil Stalin STILL didn't like the film and wouldn't allow its release during his lifetime. Maybe he didn't allow this because he was more worried people would see what a HUGE waste of money and resources the film was instead of seeing Stalin as a crazy guy just like Ivan! <br /><br />By the way, there was one segment of this [[tedious]] film that was just so cool that the film merits a 4 (without it, a 2)--and that's the scene with Prince Vladimir at the banquet! It is well-done and pretty funny in a dark way. And, the scene was done in a Russian version of 2-color Technicolor. This is VERY odd, by the way, because by the mid-1930s, a vastly improved true color process was developed by Technicolor that no longer made everything look all orangy-red and greenish-blue. So, this film during the color sequences looks a lot like a silent or early sound color film. Very odd indeed for the 1940s.","It just so happens that IVAN THE TERRIBLE, PARTS I and II both had entries in the 50 Worst Movies book by Harry Medved. Now, I do think that declaring they are among the worst movies ever is an overstatement, though they are still both pretty [[oor]] films--particularly the first one, as it featured more eye rolling and ""googly eyed looks"" than I have ever seen before!! Director Eisenstein and an awful lot of other people out there thought this made the film ""artsy and profound""--and since I am legally sane, I must say that I hated this first film!! The second, while still very incomplete-looking, is a vast improvement, as eye rolling is minimal, though overacting and long boring scenes are present in this film just like in part 1! While part 2 looks pretty incomplete and needed at least another hour (especially since it never gets to Ivan's insane behavior later in life--like killing his son and heir while in a fit of anger). Since both parts 1 and 2 were commissioned by Stalin to both excuse his own murderous reign and glorify him, it's no surprise that Ivan's life story is left very incomplete. Even without all the truly awful behaviors of Ivan, apparently the supremely evil Stalin STILL didn't like the film and wouldn't allow its release during his lifetime. Maybe he didn't allow this because he was more worried people would see what a HUGE waste of money and resources the film was instead of seeing Stalin as a crazy guy just like Ivan! <br /><br />By the way, there was one segment of this [[taedious]] film that was just so cool that the film merits a 4 (without it, a 2)--and that's the scene with Prince Vladimir at the banquet! It is well-done and pretty funny in a dark way. And, the scene was done in a Russian version of 2-color Technicolor. This is VERY odd, by the way, because by the mid-1930s, a vastly improved true color process was developed by Technicolor that no longer made everything look all orangy-red and greenish-blue. So, this film during the color sequences looks a lot like a silent or early sound color film. Very odd indeed for the 1940s.",0.002233147621154785,0.9957684278488159,0,1,0,229,"Successful"
"I'm rather surprised that anybody found this film touching or moving.<br /><br />The basic premise of the film sounded to me like an excellent, if provocative, idea for a movie about a rare sort of relationship, but one (if I can judge by the real-life examples I've known) is extremely deep and loving.<br /><br />[[However]], the film is cheaply scripted--poorly scripted--and although it has a number of very pretty-looking shots, I didn't find it to be anything special.<br /><br />Probably the biggest problem is that it is far too short and poorly-composed to give its audience time enough to invest, emotionally, in the characters: we don't really care about any of them, and so their stresses and obstacles don't really touch us.<br /><br />I think a REMAKE--from the screenplay up--with some character development by some really good writers--could improve it greatly. It is instructive to compare this film with Brokeback Mountain, which the screen-writers took to far loftier levels than did the author of the screenplay--screen-writers who were clearly conscious of how to write a classical tragedy, and carried out their task with care, planning, and superb craftsmanship! However, people only seem to remake those films that don't need it! You're not really missing anything if you skip this one: I found it very [[disappointing]] indeed, and it is only saved from getting a 1-star from me by virtue of the daring and gumption it took to make a film on this sensitive subject.","I'm rather surprised that anybody found this film touching or moving.<br /><br />The basic premise of the film sounded to me like an excellent, if provocative, idea for a movie about a rare sort of relationship, but one (if I can judge by the real-life examples I've known) is extremely deep and loving.<br /><br />[[cHowever]], the film is cheaply scripted--poorly scripted--and although it has a number of very pretty-looking shots, I didn't find it to be anything special.<br /><br />Probably the biggest problem is that it is far too short and poorly-composed to give its audience time enough to invest, emotionally, in the characters: we don't really care about any of them, and so their stresses and obstacles don't really touch us.<br /><br />I think a REMAKE--from the screenplay up--with some character development by some really good writers--could improve it greatly. It is instructive to compare this film with Brokeback Mountain, which the screen-writers took to far loftier levels than did the author of the screenplay--screen-writers who were clearly conscious of how to write a classical tragedy, and carried out their task with care, planning, and superb craftsmanship! However, people only seem to remake those films that don't need it! You're not really missing anything if you skip this one: I found it very [[disappointin]] indeed, and it is only saved from getting a 1-star from me by virtue of the daring and gumption it took to make a film on this sensitive subject.",0.009054064750671387,0.9915738701820374,0,1,0,144,"Successful"
