"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"One of the greatest lessons I ever had in how to watch a movie happened this way: <br /><br />I was working in Roger Corman's offices, like so many other wanabees before and since, I was interning and trying to figure out how it all worked and how to make myself indispensable (hah!). One afternoon Julie Corman, Roger Corman's wife and a producer in her own right, asked me to load up a tape. I'm not sure why she wanted to watch it. I got the impression it was a student film or a show reel, something like that, some sort of calling card. Whatever the reasons she had to see it, the only free video machine in the offices at the time happened to be in the room I was working in, and I was the nearest person to the machine. I started the tape.<br /><br />Fade in: [[On]] screen a figure sat at a desk facing the camera. Behind him, screen left, was a door that opened into the room. Against the far wall was a coat rack. A second character entered through the door and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts pans or dolly shots. Just one locked off camera). The second character turned to hang his coat on the coat rack and delivered his next line. Julie Corman said ""I've seen enough."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the director was an idiot. Opening with two characters who immediately turned their backs to the camera delivering lines? Nope, sorry. Next! That's how long you've got. Ten seconds. Cock it up in the opening shot and you are dead.<br /><br />I was reminded of that moment while I watched the opening of this [[piece]] of [[crap]]. [[After]] an [[interminably]] long [[travelogue]] of jungle we [[see]] several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is [[boring]]! Cut to the interior of the Airport. [[Two]] men meet. Aha! [[Something]] is happening! [[They]] [[shake]] hands. Cut to a different angle of the two men -<br /><br />- and the [[director]] crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.","One of the greatest lessons I ever had in how to watch a movie happened this way: <br /><br />I was working in Roger Corman's offices, like so many other wanabees before and since, I was interning and trying to figure out how it all worked and how to make myself indispensable (hah!). One afternoon Julie Corman, Roger Corman's wife and a producer in her own right, asked me to load up a tape. I'm not sure why she wanted to watch it. I got the impression it was a student film or a show reel, something like that, some sort of calling card. Whatever the reasons she had to see it, the only free video machine in the offices at the time happened to be in the room I was working in, and I was the nearest person to the machine. I started the tape.<br /><br />Fade in: [[OG]] screen a figure sat at a desk facing the camera. Behind him, screen left, was a door that opened into the room. Against the far wall was a coat rack. A second character entered through the door and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts pans or dolly shots. Just one locked off camera). The second character turned to hang his coat on the coat rack and delivered his next line. Julie Corman said ""I've seen enough."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the director was an idiot. Opening with two characters who immediately turned their backs to the camera delivering lines? Nope, sorry. Next! That's how long you've got. Ten seconds. Cock it up in the opening shot and you are dead.<br /><br />I was reminded of that moment while I watched the opening of this [[piec]] of [[rap]]. [[AfteX]] an [[interQinably]] long [[ravelogue]] of jungle we [[se]] several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is [[bhring]]! Cut to the interior of the Airport. [[Tw]] men meet. Aha! [[Somethign]] is happening! [[hTey]] [[shaNke]] hands. Cut to a different angle of the two men -<br /><br />- and the [[directLr]] crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.",0.0014883875846862793,0.509743332862854,0,1,0,414,"Successful"
"The Comebacks is a spoof on inspirational sports movies, and let me just tell you-it is not a good one. Tom [[Brady]] (the director) [[probably]] [[found]] it [[hilarious]] that [[referencing]] [[sports]] [[films]] (from Gridiron Gang, Invincible and even Miracle! to The Longest Yard and [[Dodgeball-yes]] Dodgeball!) and [[tossing]] in a [[couple]] of sex jokes, [[would]] be the [[funniest]] thing [[since]] Airplane! Well, he was wrong. They did such a [[slipshod]] [[job]], you'd thought it was [[written]] in a week. I have found it that if a director [[loves]] the [[genre]], the [[movie]] will be good. Obviously, [[Brady]] does not love the genre he is spoofing. [[This]] movie is a [[rancid]] [[piece]] of [[garbage]] not [[worth]] viewing, so don't [[see]] it!","The Comebacks is a spoof on inspirational sports movies, and let me just tell you-it is not a good one. Tom [[Bady]] (the director) [[proZbably]] [[faound]] it [[chilarious]] that [[referlencing]] [[sporNts]] [[flims]] (from Gridiron Gang, Invincible and even Miracle! to The Longest Yard and [[Dodgeball-byes]] Dodgeball!) and [[tosing]] in a [[cruple]] of sex jokes, [[Gwould]] be the [[fnuniest]] thing [[snice]] Airplane! Well, he was wrong. They did such a [[slipsXod]] [[jb]], you'd thought it was [[witten]] in a week. I have found it that if a director [[lvoes]] the [[gemnre]], the [[movee]] will be good. Obviously, [[Bradpy]] does not love the genre he is spoofing. [[ThPs]] movie is a [[ranid]] [[piepe]] of [[garbagX]] not [[worgth]] viewing, so don't [[sQe]] it!",0.000989675521850586,0.007469356060028076,0,0,0,186,"Failed"
"[[Alas]], [[another]] Costner movie that was an [[hour]] too long. Credible performances, but the [[script]] had no where to go and was in no hurry to get there. [[First]] we are offered an unrelated string of events few of which further the story. Will the script center on Randall and his wife? Randall and Fischer? How about Fischer and Thomas? In the end, no real front story ever develops and the characters themselves are [[artificially]] propped up by monologues from third parties. [[The]] singer explains Randall, Randall explains Fischer, on and on. Finally, long after you don't [[care]] anymore, you will learn something about the script meetings. Three endings were no doubt proffered and no one could make a decision. The end result? All three were used, one, after another, after another. If you can hang in past the 100th yawn, you'll be able to pick them out. [[Despite]] the [[transparent]] [[attempt]] to [[gain]] [[points]] with a dedication to the Coast Guard, this one should have [[washed]] out the very first day.","[[Alsa]], [[aother]] Costner movie that was an [[houSr]] too long. Credible performances, but the [[sycript]] had no where to go and was in no hurry to get there. [[Fist]] we are offered an unrelated string of events few of which further the story. Will the script center on Randall and his wife? Randall and Fischer? How about Fischer and Thomas? In the end, no real front story ever develops and the characters themselves are [[atificially]] propped up by monologues from third parties. [[Teh]] singer explains Randall, Randall explains Fischer, on and on. Finally, long after you don't [[caer]] anymore, you will learn something about the script meetings. Three endings were no doubt proffered and no one could make a decision. The end result? All three were used, one, after another, after another. If you can hang in past the 100th yawn, you'll be able to pick them out. [[Despit]] the [[transparewt]] [[attezmpt]] to [[ogain]] [[opints]] with a dedication to the Coast Guard, this one should have [[washeZ]] out the very first day.",0.0015712380409240723,0.5160681009292603,0,1,0,168,"Successful"
"In this era when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly [[neglected]]. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has developed a cult following. This film has many memorable bizarre, goofy, wacky moments. [[Sure]], it's painted in broad strokes and has silly go-go music throughout but [[that's]] part of its charm. It creates its own [[absurd]] universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes [[polls]] for new releases this gets my [[vote]].","In this era when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly [[negleBted]]. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has developed a cult following. This film has many memorable bizarre, goofy, wacky moments. [[Sur]], it's painted in broad strokes and has silly go-go music throughout but [[thet's]] part of its charm. It creates its own [[aDsurd]] universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes [[polZls]] for new releases this gets my [[votg]].",0.07721507549285889,0.5117630958557129,1,0,1,157,"Successful"
"This movie is an [[awesome]] remake of the original by the same title. The movie was cool,despite the fact, I hate new ones! [[All]] of the cast was [[awesome]] . It has [[great]] cast and an awesome plot!! The main plot is a man is poisoned and he has to solve his own murder , neat eh?!Dennis Quaid is the man who is ""D.O.A""(in other words Dead On Arrival).He finds help with his friends, but everyone is now a suspect!!Dennis's character has several hours to find out who poisoned him. The movie is quite [[fast]] and full of action. You can see two other big stars in Meg Ryan(City Of Angels,Courage Under Fire) and Daniel Stern(Home Alone, Very Bad Things,Bushwhacked) in supporting roles in this awesome ,[[cool]] remake of a [[classic]] movie!!","This movie is an [[aweosme]] remake of the original by the same title. The movie was cool,despite the fact, I hate new ones! [[Afl]] of the cast was [[wesome]] . It has [[grceat]] cast and an awesome plot!! The main plot is a man is poisoned and he has to solve his own murder , neat eh?!Dennis Quaid is the man who is ""D.O.A""(in other words Dead On Arrival).He finds help with his friends, but everyone is now a suspect!!Dennis's character has several hours to find out who poisoned him. The movie is quite [[fawst]] and full of action. You can see two other big stars in Meg Ryan(City Of Angels,Courage Under Fire) and Daniel Stern(Home Alone, Very Bad Things,Bushwhacked) in supporting roles in this awesome ,[[ool]] remake of a [[calassic]] movie!!",0.004333853721618652,0.5705561637878418,1,0,1,120,"Successful"
"Irwin [[Allen]] put all his talents behind this one: he's co-screenwriter, producer and director of this cartoonish ""epic"" about an atomic submarine and its efforts to reduce a ring of radiation circling the Earth. [[Potentially]] exciting story [[fails]] to take off, despite an eclectic cast. Varied players from Walter Pigeon and Joan Fontaine to Frankie Avalon and Barbara Eden are interestingly intermingled and provide a dash of color, but this [[soggy]] sci-fi is pretty cheesy. Good for a few stray laughs, but Allen didn't seem to know the [[difference]] between strong, solid adventure and campy [[nonsense]]. Later a popular TV series. ** from ****","Irwin [[Alben]] put all his talents behind this one: he's co-screenwriter, producer and director of this cartoonish ""epic"" about an atomic submarine and its efforts to reduce a ring of radiation circling the Earth. [[Potentialby]] exciting story [[fajils]] to take off, despite an eclectic cast. Varied players from Walter Pigeon and Joan Fontaine to Frankie Avalon and Barbara Eden are interestingly intermingled and provide a dash of color, but this [[sggy]] sci-fi is pretty cheesy. Good for a few stray laughs, but Allen didn't seem to know the [[diffrence]] between strong, solid adventure and campy [[nonense]]. Later a popular TV series. ** from ****",0.00725477933883667,0.5964628458023071,0,1,0,92,"Successful"
"This movie has [[got]] to be the [[biggest]] [[disappointment]] I've ever experienced with a film. The [[acting]] is [[horrific]], the [[suspense]] [[build]] up minimal, and the plot overall is [[ridiculous]]. I found myself rooting for the victim to just hurry up and become a victim, because she obviously needed to be put out of her misery. Anyone with rudimentary knowledge of how the world works will immediately be disgusted at the leaps [[we're]] [[asked]] to make in [[logic]], and the [[so-called]] suspenseful buildup would be lucky to get a 3 [[year]] old to be [[mildly]] [[worried]]. I'm dismayed that a sequel is planned, because it means [[they'll]] be asking us to once again swallow a sub par [[plot]] [[line]]. [[If]] this is an example of [[Raw]] [[Feed's]] work, I [[think]] [[I'll]] be [[avoiding]] any and all future [[films]] by them.","This movie has [[Jot]] to be the [[ibggest]] [[disappXintment]] I've ever experienced with a film. The [[aacting]] is [[horrifwic]], the [[ssupense]] [[bwuild]] up minimal, and the plot overall is [[ridDculous]]. I found myself rooting for the victim to just hurry up and become a victim, because she obviously needed to be put out of her misery. Anyone with rudimentary knowledge of how the world works will immediately be disgusted at the leaps [[w're]] [[asced]] to make in [[Logic]], and the [[so-calle]] suspenseful buildup would be lucky to get a 3 [[yIar]] old to be [[mildfly]] [[worreid]]. I'm dismayed that a sequel is planned, because it means [[they'el]] be asking us to once again swallow a sub par [[plt]] [[Dine]]. [[IMf]] this is an example of [[Paw]] [[eFed's]] work, I [[tihnk]] [[I'lgl]] be [[avoiPing]] any and all future [[fils]] by them.",0.000606536865234375,0.012989401817321777,0,0,0,190,"Failed"
"It just so happens that IVAN THE TERRIBLE, PARTS I and II both had entries in the 50 Worst Movies book by Harry Medved. Now, I do think that declaring they are among the worst movies ever is an overstatement, though they are still both pretty [[poor]] films--particularly the first one, as it featured more eye rolling and ""googly eyed looks"" than I have ever seen before!! Director Eisenstein and an awful lot of other people out there thought this [[made]] the film ""[[artsy]] and [[profound]]""--and since I am legally sane, I must say that I hated this first film!! The second, while [[still]] very [[incomplete-looking]], is a vast improvement, as eye rolling is minimal, though overacting and long boring scenes are present in this film just like in part 1! While part 2 looks pretty incomplete and needed at least another hour (especially since it never gets to Ivan's insane behavior later in life--like killing his son and heir while in a fit of anger). Since both parts 1 and 2 were commissioned by Stalin to both excuse his own murderous reign and glorify him, it's no surprise that Ivan's life story is left very incomplete. Even without all the truly awful behaviors of Ivan, apparently the supremely evil Stalin STILL didn't like the film and wouldn't allow its release during his lifetime. Maybe he didn't allow this because he was more worried people would see what a HUGE waste of money and resources the film was instead of seeing Stalin as a crazy guy just like Ivan! <br /><br />By the way, there was [[one]] [[segment]] of this [[tedious]] film that was just so [[cool]] that the film merits a 4 (without it, a 2)--and that's the scene with Prince Vladimir at the banquet! It is well-done and pretty funny in a dark way. And, the scene was done in a Russian version of 2-color Technicolor. This is VERY odd, by the way, because by the mid-1930s, a vastly improved true color process was developed by Technicolor that no longer made everything look all orangy-red and greenish-blue. So, this film during the color sequences looks a lot like a silent or early sound color film. Very odd indeed for the 1940s.","It just so happens that IVAN THE TERRIBLE, PARTS I and II both had entries in the 50 Worst Movies book by Harry Medved. Now, I do think that declaring they are among the worst movies ever is an overstatement, though they are still both pretty [[joor]] films--particularly the first one, as it featured more eye rolling and ""googly eyed looks"" than I have ever seen before!! Director Eisenstein and an awful lot of other people out there thought this [[mad]] the film ""[[ratsy]] and [[profoud]]""--and since I am legally sane, I must say that I hated this first film!! The second, while [[stDll]] very [[incompletel-ooking]], is a vast improvement, as eye rolling is minimal, though overacting and long boring scenes are present in this film just like in part 1! While part 2 looks pretty incomplete and needed at least another hour (especially since it never gets to Ivan's insane behavior later in life--like killing his son and heir while in a fit of anger). Since both parts 1 and 2 were commissioned by Stalin to both excuse his own murderous reign and glorify him, it's no surprise that Ivan's life story is left very incomplete. Even without all the truly awful behaviors of Ivan, apparently the supremely evil Stalin STILL didn't like the film and wouldn't allow its release during his lifetime. Maybe he didn't allow this because he was more worried people would see what a HUGE waste of money and resources the film was instead of seeing Stalin as a crazy guy just like Ivan! <br /><br />By the way, there was [[noe]] [[segmtent]] of this [[tenious]] film that was just so [[coYol]] that the film merits a 4 (without it, a 2)--and that's the scene with Prince Vladimir at the banquet! It is well-done and pretty funny in a dark way. And, the scene was done in a Russian version of 2-color Technicolor. This is VERY odd, by the way, because by the mid-1930s, a vastly improved true color process was developed by Technicolor that no longer made everything look all orangy-red and greenish-blue. So, this film during the color sequences looks a lot like a silent or early sound color film. Very odd indeed for the 1940s.",0.007063448429107666,0.5031123757362366,0,1,0,266,"Successful"
"I [[saw]] the [[film]] yesterday and stopped it at half [[time]] because I felt it was a [[waste]] of time. The [[idea]] to make a [[film]] through the eyes of a [[headsman]] - one of the ""[[evil]] guys"" throughout most [[fantasy]] and [[medieval]] [[films]] - is great and offers plenty of [[possibilities]] but... the film couldn't catch [[one]] of them. I was not feeling for any of the characters, the [[plot]] was all too [[predictable]] (to the [[point]] that I [[followed]] it)and the second leap of time in the [[storyline]] [[made]] me [[quit]]. [[Those]] who [[expect]] a deep [[insight]] into the emotional situation of a headsman in the middle Ages, a social outcast to that time, [[might]] be disappointed.","I [[sw]] the [[flim]] yesterday and stopped it at half [[tiem]] because I felt it was a [[aste]] of time. The [[ridea]] to make a [[Gilm]] through the eyes of a [[heEdsman]] - one of the ""[[eviDl]] guys"" throughout most [[faJtasy]] and [[medievaD]] [[filmd]] - is great and offers plenty of [[possibiJities]] but... the film couldn't catch [[oTne]] of them. I was not feeling for any of the characters, the [[polt]] was all too [[predicatble]] (to the [[poPnt]] that I [[Qfollowed]] it)and the second leap of time in the [[sworyline]] [[madR]] me [[qiut]]. [[Thoe]] who [[expetc]] a deep [[nsight]] into the emotional situation of a headsman in the middle Ages, a social outcast to that time, [[mght]] be disappointed.",0.001395881175994873,0.10806047916412354,0,0,0,182,"Failed"
"At 20 years old, Francis Ouimet (Shia Lebouf) as his whole life ahead of him - in a way. The son of an immigrant family living in the late-19th to early-20th Century-era United States, class was a very limiting fact of life. If one is born poor, one stays poor; if one is born into the bourgeoisie, one has a tiny bit of opportunity; if one is born into the wealthy class, they essentially have it made in the shade. British gold champion Harry Vardon and Francis' golf idol (played by the criminally underrated Stephen Dillane) is the exception that proves the rule. Born and raised in a poor British family, his accomplished skill at golf allowed him to rise from the dirty mess of the poorest slums to the lush greens of the English country clubs. He has not forgotten this life lesson. Francis wishes to follow in Vardon's footsteps and similarly uses his great skill at golf to get into the 1913 US Open at age 20. But a tough course and formidable opponents (including Francis' idol Harry Vardon) are not all that Francis must deal with as a less-than-understanding father and cruel societal framework stand in his way of living his own dream.<br /><br />I know what you are thinking - I thought it too - a [[Walt]] Disney produced film about the 1913 US Open starring the irritable Shia LaBeouf holds the possibility of being entertaining but it cannot possibly be a great film. [[Well]], I am here to encourage you to [[think]] again. Despite what it [[may]] look to some on paper, The Greatest Game Ever Played is [[one]] of the [[best]] sport films in creation.<br /><br />[[As]] with every great sport film, The Greatest Game Ever Played includes many exciting sport scenes but it is not a film *about* golf - it is a character centered film about using one's talents, following one's dreams, and breaking out of class barriers. Where The Greatest Game Ever Played works excellently as a themed sport film it also works just as well as a period film - the film's featured costumes and sets being the next best thing to actual time travel. [[The]] film [[also]] simply *looks* great and virtually unknown music composer Brian Tyler set the film to a [[wonderful]] piece of music. The cast is [[great]] as well with a subtle but [[powerful]] Stephen Dillane as British golfing champion Harry Vardon, a hilarious Stephen Marcus as man's man golfer Ted Ray, a hammy Josh Flitter as Francis' pre-teenaged caddy Eddie, and a surprisingly good Shia LaBeouf in the lead role as Francis. Actor Bill Paxton (Apollo 13, Titanic) turns director here for the second time (directing a full-length feature) in The Greatest Game Ever Played. He produces a fine product - incorporating plenty of heart, ingenuity, and an attention to detail in the making of the film.","At 20 years old, Francis Ouimet (Shia Lebouf) as his whole life ahead of him - in a way. The son of an immigrant family living in the late-19th to early-20th Century-era United States, class was a very limiting fact of life. If one is born poor, one stays poor; if one is born into the bourgeoisie, one has a tiny bit of opportunity; if one is born into the wealthy class, they essentially have it made in the shade. British gold champion Harry Vardon and Francis' golf idol (played by the criminally underrated Stephen Dillane) is the exception that proves the rule. Born and raised in a poor British family, his accomplished skill at golf allowed him to rise from the dirty mess of the poorest slums to the lush greens of the English country clubs. He has not forgotten this life lesson. Francis wishes to follow in Vardon's footsteps and similarly uses his great skill at golf to get into the 1913 US Open at age 20. But a tough course and formidable opponents (including Francis' idol Harry Vardon) are not all that Francis must deal with as a less-than-understanding father and cruel societal framework stand in his way of living his own dream.<br /><br />I know what you are thinking - I thought it too - a [[Walc]] Disney produced film about the 1913 US Open starring the irritable Shia LaBeouf holds the possibility of being entertaining but it cannot possibly be a great film. [[WSell]], I am here to encourage you to [[thinY]] again. Despite what it [[ay]] look to some on paper, The Greatest Game Ever Played is [[oZe]] of the [[ebst]] sport films in creation.<br /><br />[[YAs]] with every great sport film, The Greatest Game Ever Played includes many exciting sport scenes but it is not a film *about* golf - it is a character centered film about using one's talents, following one's dreams, and breaking out of class barriers. Where The Greatest Game Ever Played works excellently as a themed sport film it also works just as well as a period film - the film's featured costumes and sets being the next best thing to actual time travel. [[he]] film [[alUso]] simply *looks* great and virtually unknown music composer Brian Tyler set the film to a [[onderful]] piece of music. The cast is [[rgeat]] as well with a subtle but [[Gowerful]] Stephen Dillane as British golfing champion Harry Vardon, a hilarious Stephen Marcus as man's man golfer Ted Ray, a hammy Josh Flitter as Francis' pre-teenaged caddy Eddie, and a surprisingly good Shia LaBeouf in the lead role as Francis. Actor Bill Paxton (Apollo 13, Titanic) turns director here for the second time (directing a full-length feature) in The Greatest Game Ever Played. He produces a fine product - incorporating plenty of heart, ingenuity, and an attention to detail in the making of the film.",0.002190887928009033,0.5385604500770569,1,0,1,359,"Successful"
